KWH JANUARY 2010, KWH FEBRUARY 2010, KWH MARCH 2010, KWH APRIL 2010, KWH MAY 2010, KWH JUNE 2010, KWH JULY 2010, KWH AUGUST 2010, KWH SEPTEMBER 2010, KWH OCTOBER 2010, KWH NOVEMBER 2010, KWH DECEMBER 2010
5372, 8021, 8526, 9254, 9930, 12247, 10520, 14994, 11534, 7197, 16613, 17054
859, 769, 485, 1074, 1954, 2109, 2631, 3106, 1270, 651, 1681, 1446
8098, 8666, 9433, 8330, 14176, 22293, 22899, 20951, 10944, 7173, 13782, 12649
1537, 2398, 2349, 3020, 4386, 5333, 6087, 8933, 4740, 2905, 7519, 6827
8185, 7939, 8237, 8312, 12191, 14537, 16288, 12066, 8677, 8265, 9584, 10206
3025, 2938, 4081, 2113, 2756, 3811, 3910, 2892, 2551, 2104, 6336, 7735
6800, 5321, 5898, 5186, 7544, 15898, 16482, 8435, 6230, 5806, 8285, 8733
2386, 3273, 2657, 1948, 3059, 4180, 4417, 2889, 1728, 3147, 3113, 2958
14663, 11108, 8434, 11608, 13862, 19296, 21945, 12322, 8089, 15882, 17765, 20604
1797, 1043, 822, 1481, 1615, 2110, 2547, 2458, 1742, 2874, 2167, 3109
65311, 65264, 66657, 64540, 84579, 99261, 96130, 87179, 67382, 63853, 72261, 74272
1811, 1485, 1601, 1456, 2558, 3498, 3299, 2978, 1399, 1146, 4733, 2589
1606, 1353, 1381, 1233, 1263, 1724, 1678, 1564, 958, 837, 1548, 1567
3540, 2834, 4167, 3617, 4980, 8145, 7312, 6456, 3214, 2315, 5643, 4925
1397, 1117, 1394, 1206, 1942, 2590, 2291, 2010, 1765, 1463, 1751, 2203
890, 1575, 1293, 1393, 1805, 2511, 2597, 1815, 1245, 2274, 2289, 2316
6717, 6169, 7148, 6462, 9016, 13467, 11960, 10388, 5882, 5762, 14014, 11797
2635, 2549, 2500, 2164, 5338, 9185, 8017, 6609, 3878, 3354, 5075, 4502
1173, 962, 996, 907, 1243, 2083, 1871, 1690, 778, 638, 1804, 1306
282, 332, 419, 399, 747, 1238, 1232, 1075, 559, 417, 626, 520
9305, 7587, 7926, 7016, 8854, 14353, 13113, 11775, 7869, 5914, 14013, 14461
4532, 3588, 3641, 3095, 5154, 8071, 7329, 6365, 3552, 2947, 7105, 6847
1111, 888, 884, 805, 529, 1567, 1535, 1386, 409, 335, 1593, 1054
926, 760, 421, 499, 1529, 1704, 1530, 1381, 1233, 952, 2687, 1674
10832, 9192, 7967, 7228, 10931, 14305, 12914, 11354, 9481, 8047, 18884, 17125
3531, 3335, 4050, 3517, 6179, 9505, 9460, 8369, 4611, 3334, 7564, 7196
3787, 2997, 3997, 3397, 5187, 7482, 5710, 5276, 4372, 3968, 7745, 6401
1748, 1619, 2153, 1938, 2591, 4022, 3500, 3595, 2724, 1935, 3106, 2642
9344, 8294, 8363, 6975, 8265, 12002, 12441, 10972, 7700, 5411, 11341, 15605
1097, 1404, 1790, 1807, 1543, 2543, 3301, 2867, 2458, 1538, 1791, 5288
10136, 8529, 9040, 7733, 9708, 15805, 14123, 12184, 6581, 5286, 15236, 14071
3102, 2456, 1579, 1341, 2355, 3003, 2785, 2419, 1727, 1433, 4424, 3556
13023, 11859, 9407, 10344, 14308, 18135, 15871, 15111, 9406, 10256, 14160, 13943
9459, 8984, 9598, 8258, 12486, 17077, 15684, 14872, 9099, 7723, 14536, 15100
2183, 2825, 3653, 4497, 6943, 8777, 9745, 6132, 4295, 3907, 4782, 6281
6500, 10999, 9022, 8186, 10047, 12675, 11098, 11358, 8047, 7560, 9583, 10504
5677, 6123, 5793, 6308, 5817, 5364, 5240, 4633, 3624, 6243, 6336, 6888
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
942, 567, 460, 1591, 2371, 2749, 3284, 3466, 2829, 2722, 3416, 1498
1620, 3126, 2738, 4772, 3337, 5345, 5802, 2612, 1737, 3457, 3881, 4239
1299, 2199, 1784, 1052, 1704, 3446, 3854, 1524, 912, 2602, 7592, 2965
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5407, 7659, 5710, 6525, 7567, 11399, 14057, 5299, 2867, 9125, 11099, 11729
2547, 1210, 1025, 1767, 1920, 3317, 3895, 1238, 718, 2286, 2444, 2329
8602, 6358, 4506, 6667, 8509, 12645, 16499, 6526, 3957, 8644, 9813, 11019
10017, 11842, 9182, 8553, 14633, 21309, 22403, 12849, 11727, 20948, 18199, 30245
544, 1215, 940, 365, 870, 933, 1071, 303, 179, 957, 979, 1072
2594, 2734, 2069, 2637, 3133, 3815, 4479, 1934, 1121, 4012, 3410, 3943
3746, 3876, 3166, 3548, 4677, 6236, 6877, 7381, 12629, 6202, 6729, 7881
154, 126, 102, 1093, 953, 287, 298, 6894, 725, 601, 752, 3486
8364, 11486, 10559, 11831, 17082, 24159, 28284, 13202, 8106, 18646, 18527, 21927
3880, 3595, 3362, 4190, 6624, 8958, 9466, 4445, 2659, 5338, 5265, 6040
5915, 4403, 3329, 3194, 3995, 5916, 6946, 2651, 1537, 4887, 5474, 6506
6047, 6374, 4798, 5032, 5945, 8904, 10620, 5864, 3893, 7932, 7270, 7694
272, 861, 769, 262, 355, 286, 1366, 869, 371, 757, 757, 819
4438, 6449, 7792, 7505, 9941, 15055, 19995, 12809, 7898, 12725, 19141, 14982
3771, 3234, 2611, 3044, 3655, 5078, 5419, 3223, 2029, 2704, 3345, 7355
1524, 3005, 6072, 2823, 3045, 4806, 5470, 2040, 1286, 3455, 6372, 5537
5127, 4450, 3364, 3814, 5635, 8385, 9925, 3618, 2503, 6045, 6078, 6584
0, 0, 160, 197, 149, 135, 428, 622, 782, 904, 793, 1068
4280, 5337, 4029, 4251, 6641, 8880, 11806, 6103, 4813, 6696, 7222, 8560
4501, 3202, 2421, 3446, 4749, 8985, 8011, 4868, 4467, 4375, 7403, 6754
7463, 7108, 7631, 8108, 10475, 14833, 18058, 12032, 9147, 8587, 15519, 15813
1722, 5077, 5256, 6324, 5279, 7377, 9290, 8389, 11114, 10053, 8315, 9113
8152, 9053, 9255, 7688, 13397, 18098, 19728, 15577, 7615, 11964, 13704, 15418
0, 938, 966, 1072, 1542, 1571, 2115, 985, 387, 1109, 932, 1061
8712, 8833, 7511, 7405, 10230, 11658, 13960, 10482, 7355, 17491, 18695, 17171
670, 887, 479, 748, 793, 833, 1179, 1310, 816, 740, 1055, 1176
3720, 3265, 4320, 3879, 6440, 7868, 9730, 6422, 4777, 6242, 6004, 7199
288, 245, 213, 194, 274, 596, 619, 539, 463, 2343, 1168, 1057
3041, 3102, 3111, 2989, 5987, 5792, 18681, 11521, 8844, 10862, 9844, 8563
1600, 1269, 1191, 1084, 1207, 1670, 1779, 1017, 609, 1053, 1602, 1787
260, 199, 150, 168, 396, 671, 788, 476, 276, 848, 1078, 6879
699, 831, 778, 952, 1101, 1600, 3449, 2307, 1575, 1323, 3710, 2426
1626, 3031, 2712, 2437, 2953, 7592, 11164, 9269, 5143, 6342, 7046, 6557
4888, 8014, 8931, 9252, 10130, 17714, 16909, 13741, 8278, 12485, 14669, 21899
2393, 3937, 2849, 2610, 5487, 7829, 5995, 6124, 4605, 2906, 4116, 4781
615, 547, 1601, 1457, 841, 1153, 1562, 1362, 1444, 1184, 1501, 1378
4411, 10307, 7905, 6235, 7550, 14248, 14623, 13145, 14663, 6446, 15544, 14993
2080, 4679, 3981, 2759, 3394, 6080, 8732, 4426, 2256, 1900, 6483, 6624
2386, 2402, 5339, 4147, 4796, 5664, 9755, 8777, 8265, 6318, 4446, 6950
3984, 3795, 2690, 3166, 3879, 5619, 9393, 8516, 3464, 1999, 6350, 5267
10325, 10127, 9191, 7770, 10645, 10169, 16301, 13682, 9064, 6509, 17429, 20789
495, 365, 483, 411, 469, 682, 1097, 2790, 3158, 1325, 2915, 1333
18284, 16613, 20533, 19605, 35185, 47342, 47437, 42281, 30780, 26105, 46431, 43420
5105, 6256, 5073, 6155, 9733, 12619, 13545, 9223, 8327, 9648, 8757, 9590
8899, 11967, 9501, 12599, 15794, 19853, 22690, 17320, 9374, 13830, 19131, 20528
399, 1168, 1423, 1234, 1287, 3380, 5047, 5838, 3895, 3098, 1853, 3195
3797, 3384, 3087, 2631, 4800, 11368, 8483, 5106, 6625, 9665, 8370, 8495
3158, 2764, 938, 1114, 2179, 3103, 1841, 2612, 3006, 2374, 4970, 6935
2287, 1846, 2469, 2225, 3387, 4597, 3427, 2497, 3025, 2399, 2326, 2838
6865, 6996, 6215, 7380, 7999, 12198, 14669, 10305, 8825, 6168, 14697, 17860
1182, 927, 1736, 1475, 2491, 3267, 2504, 1807, 1955, 1446, 3141, 2552
864, 1375, 1763, 1810, 2011, 1497, 3341, 3912, 1685, 1463, 2027, 2318
452, 431, 348, 634, 853, 950, 998, 753, 444, 686, 726, 778
0, 555, 496, 4810, 3887, 3988, 2323, 3309, 7375, 5756, 6674, 7666
2583, 2060, 1586, 1883, 2461, 4213, 4748, 1910, 1042, 2130, 2613, 3069
10423, 11321, 11359, 10053, 18627, 26550, 22340, 17803, 15874, 13328, 15307, 14416
15870, 11582, 8012, 8431, 8738, 12138, 13780, 10667, 7635, 10607, 29962, 35649
2957, 2656, 3577, 3409, 5657, 7224, 8330, 4299, 2375, 5859, 5470, 6548
3983, 11915, 13148, 9740, 9387, 12509, 17523, 16779, 12670, 12958, 12281, 13200
852, 941, 1592, 1506, 3205, 2341, 2456, 3034, 1669, 3233, 2482, 2573
3733, 5197, 5555, 4360, 6662, 8238, 12574, 7459, 6084, 7809, 10036, 11290
2527, 1946, 2745, 3776, 3575, 4241, 5228, 3946, 3264, 10361, 6131, 10260
7692, 6415, 5175, 4296, 7806, 9441, 11134, 5189, 3549, 7271, 7948, 9035
6093, 5727, 9222, 8094, 9001, 11050, 14852, 11560, 8475, 13543, 12180, 12538
926, 996, 909, 1230, 1501, 4419, 3758, 2561, 5887, 9346, 2646, 3049
1517, 1223, 1768, 1586, 1883, 1799, 1952, 1756, 1133, 2226, 2250, 2894
4010, 4237, 4039, 3381, 5556, 7110, 8465, 5389, 3659, 3643, 4857, 5312
5758, 5493, 3294, 2651, 7232, 11633, 17363, 8895, 8400, 6475, 7464, 9298
13012, 9008, 8247, 6633, 7992, 10912, 12673, 8005, 5123, 13100, 18702, 18021
7748, 7889, 7067, 6464, 12738, 19309, 16932, 14499, 11467, 8087, 14544, 17175
6172, 5188, 5024, 4363, 6121, 9554, 13489, 10524, 7002, 6279, 8958, 7445
1538, 3805, 6298, 5147, 6083, 6706, 7873, 7110, 5273, 6929, 6473, 7093
52, 129, 985, 1336, 521, 469, 1406, 1007, 1284, 1238, 4986, 4718
2622, 4148, 3131, 2959, 3944, 5735, 6522, 6463, 6097, 3948, 8289, 13608
2134, 2110, 2823, 3703, 4304, 5830, 6099, 4977, 3694, 2620, 5903, 6416
518, 411, 462, 421, 878, 1219, 1489, 635, 380, 1050, 937, 975
2037, 1764, 2248, 2126, 2402, 3189, 3738, 3803, 3250, 4565, 3486, 3771
5052, 6699, 6260, 5229, 9191, 10704, 12382, 6788, 5113, 8633, 13467, 13908
5979, 6853, 4186, 3652, 10896, 11972, 14319, 5398, 3480, 6515, 10827, 10095
5427, 4646, 3937, 3467, 5596, 4650, 5437, 3755, 2470, 6240, 7667, 8418
209, 418, 710, 1086, 1605, 1977, 2354, 993, 401, 2031, 1417, 1530
2120, 2303, 2004, 1815, 3661, 3925, 4266, 4297, 3111, 3310, 3285, 3662
7590, 5879, 9750, 8062, 10149, 12334, 15880, 12073, 9820, 13360, 15138, 13922
587, 466, 1505, 1245, 1361, 1208, 2695, 3241, 3414, 1941, 1580, 1727
3753, 4072, 3625, 3603, 6043, 7392, 8009, 5833, 4141, 3987, 4564, 4753
3276, 2864, 4094, 3910, 6259, 8608, 9285, 6140, 5460, 5378, 5119, 5545
2359, 2513, 4460, 4619, 4330, 6921, 8109, 5839, 4329, 3347, 4975, 5306
5280, 4464, 4791, 4379, 7848, 9907, 10368, 6236, 4213, 5280, 6853, 7275
150, 128, 422, 637, 707, 698, 647, 776, 3049, 1934, 5514, 1446
8343, 7281, 1767, 3754, 6622, 7171, 7211, 5033, 3784, 5225, 8549, 9807
9204, 7550, 7044, 8305, 17633, 23532, 23575, 15675, 10783, 16100, 15347, 17265
1862, 1611, 1210, 1156, 1862, 2402, 3342, 2335, 1434, 2204, 2332, 2847
6644, 4096, 2665, 2235, 1930, 2580, 4957, 3122, 2505, 3730, 7152, 8555
14272, 12770, 11275, 13856, 20579, 23606, 23752, 18151, 14392, 12981, 17307, 18411
686, 520, 437, 1012, 1986, 3189, 3370, 1226, 686, 1717, 1570, 1605
12081, 10023, 8989, 10646, 17350, 19652, 19539, 14596, 10886, 11430, 14416, 15577
2123, 2558, 2056, 2406, 3564, 4631, 6421, 4657, 2562, 3095, 3123, 3457
5661, 3068, 2418, 3979, 4654, 5653, 6636, 3777, 2052, 5017, 5548, 6658
248, 211, 184, 354, 395, 1150, 467, 568, 1833, 675, 2484, 649
178, 141, 165, 150, 235, 328, 347, 296, 166, 510, 489, 534
9983, 8167, 8570, 7511, 11092, 16330, 19009, 8458, 4459, 10288, 12782, 14212
4177, 10124, 8216, 4037, 6362, 10385, 11511, 6363, 4182, 6679, 10235, 10772
5618, 4589, 4989, 4650, 9623, 13216, 14574, 10030, 6714, 7985, 9121, 8476
5354, 5880, 5474, 6428, 7230, 10597, 11704, 12128, 4736, 7014, 10630, 20823
7195, 6846, 5586, 7566, 9459, 14358, 16802, 9988, 5779, 9006, 9997, 10483
1154, 1012, 783, 802, 1347, 2294, 2694, 1031, 560, 810, 1204, 1248
132, 181, 787, 716, 746, 1274, 1346, 680, 381, 746, 758, 818
7495, 9225, 12927, 12688, 13300, 21010, 22323, 15165, 10637, 13547, 14681, 14498
285, 218, 372, 316, 479, 720, 845, 626, 1700, 1482, 1741, 1976
963, 813, 1138, 1157, 1422, 1592, 1648, 1710, 1633, 1708, 2092, 2132
6870, 9507, 10444, 9916, 10857, 17356, 22723, 16784, 9633, 11078, 16668, 23203
2397, 3214, 3738, 3547, 4388, 9837, 11071, 5961, 5572, 4951, 5923, 6474
4571, 5615, 5322, 5948, 10147, 11034, 7308, 7682, 4903, 5097, 6644, 9336
7291, 7282, 6498, 9459, 10811, 11777, 11609, 8314, 7231, 6644, 8301, 9176
17017, 14256, 12281, 18226, 23711, 26831, 26591, 20713, 17122, 17202, 19874, 22571
1023, 1074, 869, 1016, 1631, 2435, 2644, 1600, 890, 1153, 1454, 1852
5246, 3920, 3173, 3938, 6114, 8074, 9657, 4615, 2671, 5127, 5917, 5755
28663, 38544, 29092, 29505, 35077, 41822, 42413, 42443, 42711, 40330, 42957, 36486
4686, 5725, 4226, 4254, 6833, 8101, 8763, 5783, 3841, 3923, 6084, 6194
3265, 3273, 3608, 3348, 3881, 4870, 7336, 7864, 10205, 6042, 4560, 5626
664, 514, 538, 471, 786, 1144, 1000, 800, 1095, 906, 1393, 1829
2497, 2067, 1611, 1624, 2616, 4136, 4805, 3272, 1735, 1367, 3357, 4664
1434, 3442, 4335, 3378, 4230, 6745, 6749, 6248, 4542, 3159, 4790, 6276
2790, 3684, 3835, 3925, 6268, 8279, 7863, 8525, 6426, 4143, 6214, 8013
5585, 5691, 5902, 5762, 8529, 11390, 13106, 12967, 6709, 5417, 11397, 13764
2265, 2213, 3326, 8210, 5345, 6514, 6504, 4740, 3363, 2791, 4445, 5227
2299, 2165, 1876, 1968, 2921, 4349, 5611, 5497, 2781, 1547, 3211, 4229
7808, 9853, 7601, 6617, 7192, 10065, 12100, 12422, 8263, 6445, 10746, 11473
3238, 4019, 5111, 3952, 5287, 7598, 8780, 6365, 3104, 2824, 8365, 10199
4974, 6062, 5885, 5889, 6178, 11038, 14865, 13817, 10736, 6683, 7613, 10611
1164, 890, 1633, 1387, 1402, 2037, 2659, 1831, 1279, 1062, 1858, 2448
5901, 5188, 4474, 3951, 4442, 6730, 7677, 7545, 5214, 3690, 8325, 10589
8178, 7395, 10339, 9335, 14041, 19425, 19552, 16769, 9435, 6759, 12867, 15488
5285, 5752, 10518, 10808, 10213, 13251, 13587, 14400, 11067, 7974, 12613, 14788
7394, 6388, 8772, 8074, 9620, 12776, 15034, 12471, 9305, 6614, 13302, 16800
840, 2950, 3365, 2810, 3074, 4251, 6786, 4674, 1971, 1561, 5375, 7071
2339, 2455, 2867, 2391, 5093, 6653, 7766, 6791, 5006, 6564, 10290, 11304
6187, 5708, 5572, 5320, 7558, 8338, 9596, 7898, 6557, 5278, 6215, 7878
1155, 1511, 1700, 1832, 2177, 2884, 3621, 4154, 4791, 3817, 5490, 3837
4568, 3672, 3240, 3916, 5634, 7448, 6483, 5566, 3941, 2876, 5653, 6141
2301, 4444, 2897, 2786, 3336, 5200, 4886, 5227, 4467, 5581, 5843, 6986
5284, 6451, 7107, 5869, 8789, 9439, 13021, 14218, 7930, 5175, 7191, 9451
1813, 3864, 3295, 7644, 5356, 7169, 7332, 8187, 5972, 4812, 6095, 6535
5335, 4333, 5889, 5404, 7887, 10469, 6609, 4990, 5407, 4987, 5644, 6590
1570, 1286, 3121, 3479, 3957, 4851, 2706, 3506, 3396, 3390, 5048, 4288
2116, 3607, 2822, 2909, 3843, 6678, 11353, 8363, 2360, 3333, 5541, 4012
1262, 1088, 860, 838, 1063, 1064, 1337, 432, 251, 480, 601, 1800
1692, 1723, 1309, 2349, 2039, 2012, 4386, 4076, 2165, 2345, 2883, 2774
748, 1078, 1504, 1412, 1182, 1717, 2453, 2563, 1658, 985, 1907, 1817
5067, 4155, 4083, 3813, 4616, 5723, 6732, 6173, 5512, 4619, 4579, 4780
1391, 1141, 924, 785, 1904, 2192, 4484, 5725, 10355, 9964, 13614, 10715
1347, 1758, 1365, 1162, 1559, 2425, 3145, 2939, 1256, 1024, 1869, 2143
3948, 3258, 2559, 3804, 6464, 8209, 10921, 5549, 4384, 8437, 8324, 6271
2977, 2249, 1817, 901, 1228, 4644, 5388, 1032, 613, 2244, 2740, 2143
3395, 2361, 2104, 3129, 3479, 6079, 7342, 6014, 3883, 9023, 10240, 10159
2851, 2117, 1600, 1666, 2115, 4417, 5550, 1745, 1012, 3449, 4318, 3965
2027, 2651, 1982, 2130, 3020, 4113, 6904, 6174, 1719, 4673, 7471, 4429
1235, 3073, 2463, 2851, 4345, 4223, 6527, 7356, 8105, 4574, 4854, 5142
5092, 7646, 5579, 5449, 7563, 11438, 20797, 18577, 6110, 7022, 10801, 13532
2041, 2197, 2762, 2551, 3526, 5492, 5177, 5570, 5909, 3049, 4027, 4198
0, 293, 232, 515, 469, 1055, 1107, 2024, 1454, 798, 698, 763
3147, 2409, 7203, 6622, 9873, 10386, 11355, 12816, 10783, 4855, 10025, 9520
1370, 2035, 1597, 1426, 1741, 2293, 2306, 3440, 2443, 1525, 3449, 4500
2834, 4534, 4726, 4172, 5531, 7773, 8699, 9466, 5307, 3055, 7963, 8550
3693, 2826, 3326, 2827, 4655, 6341, 7084, 5941, 2112, 1753, 5574, 4406
1082, 1077, 942, 952, 1677, 2395, 2274, 2437, 1723, 1145, 2379, 2275
1991, 1679, 2840, 2745, 3743, 5067, 5320, 6710, 3575, 2305, 3933, 3555
2164, 1967, 1937, 1900, 2882, 4630, 5733, 5158, 2351, 1719, 3836, 4494
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1537, 1646, 1200, 2018, 2291, 2442, 2753, 3473, 3527, 2488, 4025, 3474
5414, 9342, 10031, 6997, 10465, 16602, 14627, 19383, 10543, 7863, 14971, 17085
4365, 4040, 2121, 2053, 3978, 5695, 4458, 5280, 2739, 1694, 5803, 5335
841, 869, 1161, 1191, 2450, 3002, 3094, 4257, 2229, 1470, 2327, 2525
9383, 10642, 11040, 9271, 15929, 23236, 22250, 16478, 11860, 9601, 18035, 16877
6098, 9831, 8784, 8939, 8176, 13187, 22907, 17046, 6785, 7899, 12684, 18683
2057, 2634, 6672, 8440, 6030, 6190, 6444, 10633, 5756, 3577, 8720, 7815
5323, 5130, 5852, 5479, 6850, 8632, 12696, 13968, 7485, 7521, 9380, 9153
0, 89, 239, 190, 137, 538, 422, 338, 537, 709, 485, 145
10277, 11254, 8277, 9854, 11392, 20309, 26440, 12750, 6286, 16425, 19834, 17094
1087, 840, 539, 458, 1377, 1525, 3372, 7048, 15932, 2533, 3330, 4127
2844, 2490, 9028, 4644, 6903, 6965, 10331, 9889, 8000, 5232, 13221, 11398
2408, 3157, 3203, 2871, 3664, 5814, 7401, 3541, 1759, 3490, 4185, 3479
4516, 3759, 2879, 3244, 5649, 5388, 6972, 8267, 7571, 6926, 7979, 10225
54088, 50497, 48335, 52388, 65888, 68182, 74181, 66786, 58730, 55482, 63453, 66971
5792, 6416, 5495, 6222, 10008, 13331, 12296, 11044, 6135, 5694, 10546, 10846
25, 276, 244, 255, 258, 319, 314, 721, 751, 380, 349, 532
9895, 7072, 8010, 7394, 13336, 17763, 13402, 11534, 10931, 9251, 9320, 12686
6842, 5407, 4915, 4766, 7315, 8009, 6563, 6746, 4731, 3439, 6407, 7678
4338, 5073, 5272, 5434, 7050, 7771, 9243, 8150, 6534, 5215, 5647, 6231
5015, 4654, 5681, 5623, 8061, 10013, 11268, 8802, 5167, 6077, 7068, 6893
1240, 983, 924, 841, 1671, 2290, 1336, 1165, 884, 724, 891, 1013
2185, 1672, 1909, 4441, 4429, 3638, 2342, 1842, 3322, 15832, 6589, 5995
2019, 1784, 1891, 1597, 2740, 4049, 4087, 3428, 1456, 1572, 3668, 4054
528, 2057, 1061, 1144, 1949, 3340, 3382, 2110, 1761, 1890, 2201, 2452
6174, 5040, 4340, 6044, 10269, 13468, 11431, 8109, 4216, 4226, 6042, 6169
4387, 3671, 4849, 4923, 6580, 8196, 7074, 7556, 4655, 6193, 12597, 8237
753, 960, 1091, 1134, 1210, 1632, 2181, 2293, 1309, 681, 1511, 1378
968, 1389, 1058, 1053, 2024, 3173, 3540, 3039, 1142, 722, 1826, 1897
5188, 6623, 8041, 8532, 9508, 14869, 17506, 16939, 10963, 8259, 14359, 15654
3306, 2884, 2005, 2499, 5106, 7051, 6095, 7854, 5010, 2809, 4347, 4121
740, 607, 1049, 892, 951, 1381, 2111, 1770, 556, 462, 1573, 2219
944, 814, 7326, 3902, 2548, 3012, 3569, 4553, 3406, 2200, 2282, 2139
5860, 5382, 8745, 6980, 10751, 17170, 12826, 14078, 11315, 8809, 11073, 14606
0, 456, 374, 169, 144, 504, 844, 1004, 1470, 790, 2491, 2679
2017, 2685, 2195, 1993, 3741, 6070, 5747, 5323, 4226, 3053, 3452, 4544
122, 493, 772, 911, 692, 655, 1312, 1687, 821, 342, 1376, 1389
4566, 5208, 7398, 7260, 7616, 11149, 11187, 11001, 8803, 6579, 9863, 15392
1312, 1660, 2450, 3103, 3438, 4676, 4971, 5786, 4032, 2360, 3247, 3688
8324, 7996, 7889, 7560, 11172, 15781, 17716, 14811, 9216, 7115, 12368, 13632
1865, 2132, 1835, 1880, 3995, 5751, 4570, 5005, 3453, 2243, 2707, 3832
851, 675, 3409, 2579, 1971, 2197, 2491, 2194, 1375, 1434, 2961, 3911
743, 3046, 3841, 2877, 3393, 5587, 4908, 12409, 7755, 4178, 4735, 6050
3287, 3140, 3344, 3251, 5383, 7128, 5538, 5736, 4300, 2955, 6891, 5629
1002, 795, 1060, 965, 1773, 2431, 848, 740, 2239, 1836, 406, 1315
3636, 3966, 7741, 6125, 7072, 10765, 9946, 9772, 8341, 6103, 9233, 10023
1744, 1626, 1938, 1872, 2663, 3578, 2611, 2897, 2619, 1914, 1851, 2779
4, 4, 30, 26, 103, 150, 189, 158, 92, 76, 95, 1110
830, 681, 1434, 1491, 5056, 4017, 4157, 3789, 1494, 1224, 2206, 2887
4925, 4038, 2904, 2468, 4158, 6042, 5024, 4214, 4184, 3473, 3791, 5559
2182, 2563, 2401, 2287, 3775, 5955, 7364, 7003, 3932, 3186, 3882, 4752
1195, 1064, 1573, 1611, 2379, 3037, 2851, 3532, 2822, 1825, 2664, 3204
2858, 3025, 3596, 3811, 3997, 5407, 6811, 5955, 3432, 2143, 5896, 5832
834, 684, 717, 609, 1120, 1627, 1728, 1449, 676, 562, 1067, 1239
6065, 5977, 6217, 5520, 8198, 11843, 7970, 7375, 8233, 6625, 12687, 14728
421, 345, 626, 532, 495, 720, 1072, 899, 311, 258, 1049, 988
16680, 18247, 17640, 18268, 27871, 30196, 28180, 29293, 21899, 19744, 17731, 23467
551, 452, 601, 547, 581, 1137, 916, 827, 442, 362, 777, 2235
753, 2009, 1386, 1237, 2957, 4279, 4336, 4057, 2688, 2215, 4466, 6504
892, 923, 1712, 2398, 1932, 2434, 3672, 4476, 2666, 1953, 3165, 2974
647, 718, 1034, 1311, 1419, 1895, 2620, 2789, 1512, 887, 1510, 1718
305, 572, 401, 485, 623, 904, 1089, 928, 3509, 8201, 8068, 9470
5827, 5309, 5684, 5793, 7977, 8452, 7941, 7794, 5638, 5199, 5693, 6379
3703, 3749, 4120, 4101, 7599, 8256, 8068, 6934, 4402, 4163, 4447, 4734
307, 639, 791, 1200, 1098, 1341, 3192, 3722, 1851, 990, 1660, 2377
0, 0, 0, 0, 0, 0, 0, 600, 3408, 2565, 1509, 3986
884, 1012, 732, 638, 731, 993, 807, 578, 814, 728, 1668, 1494
1338, 1229, 917, 1285, 2886, 4604, 4510, 2169, 1235, 2286, 2957, 3015
2419, 2197, 1815, 1897, 2247, 3727, 4763, 4306, 2539, 2262, 2689, 2904
1372, 1502, 1146, 1350, 1908, 2182, 3265, 2343, 1183, 1003, 1212, 1314
1564, 8208, 3828, 3804, 6694, 9797, 9668, 4725, 4943, 5869, 6741, 9904
4440, 7424, 6175, 6331, 7564, 10723, 17666, 13390, 4981, 6331, 7926, 8625
354, 281, 622, 566, 599, 917, 969, 635, 355, 514, 527, 537
12942, 11710, 10622, 10740, 13621, 22783, 27020, 16411, 10550, 16815, 19903, 21460
26694, 24579, 22855, 29210, 33328, 39901, 39744, 33829, 31124, 32445, 36486, 37386
141, 131, 634, 772, 549, 1344, 1804, 1253, 790, 590, 552, 1904
6992, 5770, 5218, 6361, 10181, 13737, 14454, 8613, 6249, 8301, 9940, 10985
11616, 10655, 9544, 9627, 11339, 11181, 10690, 10640, 8538, 11148, 11250, 12256
10, 8, 754, 641, 1521, 2671, 3220, 1725, 940, 2454, 3525, 1861
5263, 6587, 7308, 8352, 10103, 13334, 17044, 12799, 8164, 10200, 11273, 12054
296, 988, 689, 422, 980, 1303, 2174, 2105, 771, 1951, 1166, 1867
21014, 25864, 24252, 23024, 25795, 26135, 24761, 23868, 19455, 29692, 33411, 35453
1221, 2706, 2885, 3064, 3277, 5504, 7299, 7724, 6344, 2548, 4946, 4938
4828, 6224, 6031, 4915, 6377, 8717, 10091, 6837, 4459, 8394, 8750, 8513
12235, 11108, 9561, 10119, 18801, 23500, 24216, 13960, 9886, 12226, 13214, 14365
8950, 7991, 7525, 8568, 11176, 15021, 18611, 12644, 9533, 12388, 14601, 16290
1211, 1555, 1320, 1370, 2426, 3681, 3890, 1995, 1116, 1350, 1595, 1758
52692, 46783, 47417, 47368, 66233, 70247, 69990, 63944, 53131, 49739, 54494, 59536
7176, 6734, 7950, 7556, 16234, 21672, 23776, 15797, 9845, 10947, 15575, 15115
3415, 4044, 4868, 4511, 5895, 8874, 10551, 8869, 6881, 9728, 8939, 9306
685, 524, 1670, 1303, 1502, 1423, 2485, 2880, 3257, 3171, 2425, 2204
6085, 6512, 5065, 5426, 6933, 11643, 16958, 8141, 3814, 6837, 8501, 13297
1193, 2849, 3021, 3533, 4362, 6777, 12407, 7564, 5922, 4890, 7808, 7470
